meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1239,9550,1,1,1,23,MEDIUM,0
1239,9550,2,1,24,51,HARD,0
1239,9550,3,1,52,64,MEDIUM,3
1239,9550,4,1,65,71,SOFT,0
1239,9550,1,4,1,23,MEDIUM,0
1239,9550,2,4,24,51,HARD,0
1239,9550,3,4,52,64,MEDIUM,0
1239,9550,1,11,1,21,MEDIUM,0
1239,9550,2,11,22,51,HARD,0
1239,9550,3,11,52,71,MEDIUM,5
1239,9550,1,16,1,1,MEDIUM,0
1239,9550,2,16,2,16,HARD,0
1239,9550,3,16,17,33,MEDIUM,0
1239,9550,4,16,34,51,MEDIUM,1
1239,9550,5,16,52,71,MEDIUM,6
1239,9550,1,44,1,21,MEDIUM,0
1239,9550,2,44,22,53,HARD,0
1239,9550,3,44,54,71,MEDIUM,0
1239,9550,1,63,1,22,MEDIUM,0
1239,9550,2,63,23,46,MEDIUM,0
1239,9550,3,63,47,71,HARD,0
